Basin,NSE
14222500,0.8804696351289749
06409000,0.2053513526916504
07208500,0.10042375326156616
05507600,0.7000074088573456
03011800,0.7922526597976685
02464360,0.6457127630710602
01510000,0.8701440542936325
03180500,0.8295030295848846
09047700,0.4270806312561035
04196800,0.7787265628576279
06479215,0.3246474266052246
05454000,0.3799648880958557
02081500,0.770484447479248
01547700,0.8011264801025391
08198500,0.6477024555206299
01031500,0.8663506954908371
14303200,0.8644717037677765
07346045,0.8420814573764801
01543000,0.9022110775113106
09492400,0.7445702850818634
01669520,0.7526663690805435
03028000,0.8200361281633377
01435000,0.8750012144446373
10336645,0.8559631705284119
05488200,0.674964040517807
09513780,0.36906206607818604
12175500,0.8558049201965332
11143000,0.8494748473167419
08082700,0.42449426651000977
02038850,0.6442698240280151
07060710,0.7705885767936707
11151300,0.6372183859348297
01545600,0.8168017715215683
07180500,0.664844274520874
05489000,0.7188534736633301
03473000,0.8584574162960052
01139800,0.7744610756635666
06746095,0.7828308343887329
02027000,0.7388884425163269
08195000,0.6156187653541565
05584500,0.7939557880163193
02479155,0.708916038274765
06892000,0.8345151543617249
11481200,0.8438549041748047
02231000,0.8380475789308548
06447500,0.2762887477874756
11284400,0.8165597468614578
06847900,-0.30828261375427246
03488000,0.8500364720821381
01548500,0.8808590844273567
08066300,0.5396893918514252
01543500,0.9012660831212997
14187000,0.9009438902139664
04040500,0.9186558797955513
12092000,0.7791034430265427
04185000,0.8410327434539795
11523200,0.8455241322517395
12411000,0.8248077481985092
04127997,0.6538982093334198
13331500,0.856201097369194
02481000,0.6965905129909515
01552500,0.7892640829086304
13313000,0.9063446074724197
01542810,0.8252775222063065
07167500,0.82159124314785
03439000,0.8083358854055405
05362000,0.8524486124515533
01195100,0.7465936541557312
06623800,0.9316683486104012
12377150,0.8914118409156799
02464000,0.7358008027076721
05592575,0.684789389371872
12073500,0.8554896414279938
04197100,0.7130887508392334
08190500,0.33425211906433105
06289000,0.704585075378418
09378170,0.843535527586937
14216500,0.8270729631185532
07145700,0.733715832233429
06477500,0.6459928154945374
02212600,0.8021287173032761
02064000,0.6803747713565826
08109700,0.6544487774372101
02018000,0.8533466756343842
12375900,0.762478232383728
06906800,0.7086854577064514
03144000,0.8609806895256042
